,Unnamed: 0,Unnamed: 0.1,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url,neighborhood
0,0,0,181 Ofarrell St Ste 305,San Francisco,CA,94102.0,1040000.0,1334.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785263_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.786274299999995,-122.4075642,https://photos.zillowstatic.com/p_h/ISqtn3q6r2841e1000000000.jpg,Downtown/Civic Center
1,1,1,342 Hayes St Apt B,San Francisco,CA,94102.0,1269000.0,,2.0,2.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078395_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7771615,-122.42215790000002,https://photos.zillowstatic.com/p_h/ISqtjgl08cijwu1000000000.jpg,Downtown/Civic Center
2,2,2,650 Turk St Unit 406,San Francisco,CA,94102.0,499900.0,398.0,0.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2099883483_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.78213970000001,-122.42002250000002,https://photos.zillowstatic.com/p_h/ISa5asnpmsu9b61000000000.jpg,Downtown/Civic Center
3,3,3,181 Ofarrell St Ste 509,San Francisco,CA,94102.0,948000.0,1076.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785281_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.786274299999995,-122.4075642,https://photos.zillowstatic.com/p_h/ISqpgbcud7p7d41000000000.jpg,Downtown/Civic Center
4,4,4,653 Fell St,San Francisco,CA,94102.0,1298000.0,1760.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094630147_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.774949,-122.42859299999999,https://photos.zillowstatic.com/p_h/IS62dtea2hd1h80000000000.jpg,Western Addition
5,5,5,524 Hickory St,San Francisco,CA,94102.0,998000.0,,,,,Lot/Land For Sale,"http://www.zillow.com/homes/for_sale/2094630148_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.77475,-122.4286175,https://photos.zillowstatic.com/p_h/ISyvahw3y854h80000000000.jpg,Western Addition
6,6,6,294 Page St,San Francisco,CA,94102.0,5195000.0,6950.0,4.0,4.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15078760_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.773943,-122.42558700000001,https://photos.zillowstatic.com/p_h/ISax752dvbr3on0000000000.jpg,Western Addition
7,7,7,24 Page St Unit 5,San Francisco,CA,94102.0,1495000.0,1740.0,3.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078709_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7744799,-122.42136200000002,https://photos.zillowstatic.com/p_h/ISe8vxtlzq706f0000000000.jpg,Downtown/Civic Center
8,8,8,601 Van Ness Ave Apt 623,San Francisco,CA,94102.0,644000.0,721.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077715_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7817846,-122.4208606,https://photos.zillowstatic.com/p_h/IS660iopd9q3nn0000000000.jpg,Downtown/Civic Center
9,9,9,11 Franklin St Unit 205,San Francisco,CA,94102.0,749000.0,548.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095017323_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.774558500000005,-122.420818,https://photos.zillowstatic.com/p_h/ISyfupvilvlwxj1000000000.jpg,Downtown/Civic Center
10,10,10,450 Hayes St Unit 2F,San Francisco,CA,94102.0,999000.0,730.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095017977_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.776913,-122.4239543,https://photos.zillowstatic.com/p_h/ISuw0fr8b84iw00000000000.jpg,Western Addition
11,11,15,601 Van Ness Ave Apt 629,San Francisco,CA,94102.0,650000.0,706.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077721_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7817846,-122.4208606,https://photos.zillowstatic.com/p_h/IS6qn5ydsc57r30000000000.jpg,Downtown/Civic Center
12,12,16,601 Van Ness Ave Apt 242,San Francisco,CA,94102.0,599000.0,682.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077766_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7817846,-122.4208606,https://photos.zillowstatic.com/p_h/ISaxn9o1yjshi31000000000.jpg,Downtown/Civic Center
13,13,17,368 Elm St Apt 202,San Francisco,CA,94102.0,675000.0,679.0,1.0,1.0,257.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/79842266_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812639,-122.42320600000001,https://photos.zillowstatic.com/p_h/ISec22tq65lp430000000000.jpg,Downtown/Civic Center
14,14,18,8 Buchanan St Unit 806,San Francisco,CA,94102.0,999000.0,884.0,1.0,1.0,89.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095573100_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7699869,-122.42645159999998,https://photos.zillowstatic.com/p_h/ISu044k7clebgf0000000000.jpg,Mission
15,15,19,338 Potrero Ave # QM6VMC,San Francisco,CA,94103.0,772000.0,673.0,1.0,1.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096566274_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7652366,-122.40752140000002,https://photos.zillowstatic.com/p_h/ISyvifg417t6vd0000000000.jpg,Mission
