,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude
0,181 Ofarrell St Ste 305,San Francisco,CA,94102.0,999000.0,1334.0,1.0,2.0,17.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785263_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7862743,-122.4075642
1,601 Van Ness Ave Apt 248,San Francisco,CA,94102.0,459000.0,450.0,0.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077772_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7815203,-122.4206809
2,720 Gough St Apt 41,San Francisco,CA,94102.0,850000.0,1522.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078024_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7800247,-122.4233424
3,785 Golden Gate Ave Apt 303,San Francisco,CA,94102.0,549000.0,658.0,0.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078011_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.780383,-122.423464
4,612 Fell St # 614,San Francisco,CA,94102.0,1149000.0,1805.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095082540_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.775468,-122.428109
5,612 Fell St # 616,San Francisco,CA,94102.0,1249000.0,1995.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095082561_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.775468,-122.428109
6,8 Buchanan St Unit 311,San Francisco,CA,94102.0,799000.0,698.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/124397692_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7699869,-122.4264516
7,601 Van Ness Ave Apt 242,San Francisco,CA,94102.0,599000.0,682.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077766_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7815203,-122.4206809
8,450 Hayes St Unit 2F,San Francisco,CA,94102.0,1049000.0,730.0,1.0,1.0,,,"http://www.zillow.com/homes/for_sale/2095017977_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.776913,-122.4239543
9,612 Fell St,San Francisco,CA,94102.0,3393000.0,5574.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095081964_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.775468,-122.428109
